p,proj_class,raw_label,j5,b_p,abs_a_p,a_p_exact,Re_a_p,Im_a_p,chi_p_exact,Re_chi,Im_chi
2,3A,2,4,1,1,+zeta10^4,-0.809016994375,0.587785252292,zeta5^4,0.309016994375,-0.951056516295
3,5B/5A,4,1,-1,1/phi,-zeta10^1*1/phi,-0.500000000000,-0.363271264003,zeta5^1,0.309016994375,0.951056516295
5,2A,1,1,0,0,0,0.000000000000,0.000000000000,zeta5^1,0.309016994375,0.951056516295
7,2A,1,2,0,0,0,0.000000000000,0.000000000000,zeta5^2,-0.809016994375,0.587785252292
11,5B/5A,4,3,-1,1/phi,-zeta10^3*1/phi,0.190983005625,-0.587785252292,zeta5^3,-0.809016994375,-0.587785252292
13,3A,2,3,1,1,+zeta10^3,-0.309016994375,0.951056516295,zeta5^3,-0.809016994375,-0.587785252292
17,5B/5A,4,1,1,1/phi,+zeta10^1*1/phi,0.500000000000,0.363271264003,zeta5^1,0.309016994375,0.951056516295
19,5A/5B,3,2,1,phi,+zeta10^2*phi,0.500000000000,1.538841768588,zeta5^2,-0.809016994375,0.587785252292
23,2A,1,1,0,0,0,0.000000000000,0.000000000000,zeta5^1,0.309016994375,0.951056516295
29,2A,1,4,0,0,0,0.000000000000,0.000000000000,zeta5^4,0.309016994375,-0.951056516295
31,5A/5B,3,0,-1,phi,-zeta10^0*phi,-1.618033988750,0.000000000000,zeta5^0,1.000000000000,0.000000000000
37,5B/5A,4,2,1,1/phi,+zeta10^2*1/phi,0.190983005625,0.587785252292,zeta5^2,-0.809016994375,0.587785252292
41,5B/5A,4,4,1,1/phi,+zeta10^4*1/phi,-0.500000000000,0.363271264003,zeta5^4,0.309016994375,-0.951056516295
43,3A,2,3,-1,1,-zeta10^3,0.309016994375,-0.951056516295,zeta5^3,-0.809016994375,-0.587785252292
47,2A,1,4,0,0,0,0.000000000000,0.000000000000,zeta5^4,0.309016994375,-0.951056516295
53,5A/5B,3,3,-1,phi,-zeta10^3*phi,0.500000000000,-1.538841768588,zeta5^3,-0.809016994375,-0.587785252292
59,3A,2,4,-1,1,-zeta10^4,0.809016994375,-0.587785252292,zeta5^4,0.309016994375,-0.951056516295
61,5B/5A,4,0,1,1/phi,+zeta10^0*1/phi,0.618033988750,0.000000000000,zeta5^0,1.000000000000,0.000000000000
67,3A,2,3,1,1,+zeta10^3,-0.309016994375,0.951056516295,zeta5^3,-0.809016994375,-0.587785252292
71,2A,1,2,0,0,0,0.000000000000,0.000000000000,zeta5^2,-0.809016994375,0.587785252292
73,2A,1,1,0,0,0,0.000000000000,0.000000000000,zeta5^1,0.309016994375,0.951056516295
79,5A/5B,3,1,-1,phi,-zeta10^1*phi,-1.309016994375,-0.951056516295,zeta5^1,0.309016994375,0.951056516295
83,5A/5B,3,1,-1,phi,-zeta10^1*phi,-1.309016994375,-0.951056516295,zeta5^1,0.309016994375,0.951056516295
89,3A,2,0,1,1,+zeta10^0,1.000000000000,0.000000000000,zeta5^0,1.000000000000,0.000000000000
97,5A/5B,3,4,-1,phi,-zeta10^4*phi,1.309016994375,-0.951056516295,zeta5^4,0.309016994375,-0.951056516295
101,2A,1,3,0,0,0,0.000000000000,0.000000000000,zeta5^3,-0.809016994375,-0.587785252292
103,2A,1,3,0,0,0,0.000000000000,0.000000000000,zeta5^3,-0.809016994375,-0.587785252292
107,3A,2,1,1,1,+zeta10^1,0.809016994375,0.587785252292,zeta5^1,0.309016994375,0.951056516295
109,3A,2,2,1,1,+zeta10^2,0.309016994375,0.951056516295,zeta5^2,-0.809016994375,0.587785252292
113,3A,2,0,-1,1,-zeta10^0,-1.000000000000,0.000000000000,zeta5^0,1.000000000000,0.000000000000
127,5A/5B,3,3,-1,phi,-zeta10^3*phi,0.500000000000,-1.538841768588,zeta5^3,-0.809016994375,-0.587785252292
131,2A,1,4,0,0,0,0.000000000000,0.000000000000,zeta5^4,0.309016994375,-0.951056516295
137,3A,2,3,-1,1,-zeta10^3,0.309016994375,-0.951056516295,zeta5^3,-0.809016994375,-0.587785252292
139,5A/5B,3,0,1,phi,+zeta10^0*phi,1.618033988750,0.000000000000,zeta5^0,1.000000000000,0.000000000000
149,5B/5A,4,3,1,1/phi,+zeta10^3*1/phi,-0.190983005625,0.587785252292,zeta5^3,-0.809016994375,-0.587785252292
151,2A,1,1,0,0,0,0.000000000000,0.000000000000,zeta5^1,0.309016994375,0.951056516295
157,3A,2,4,-1,1,-zeta10^4,0.809016994375,-0.587785252292,zeta5^4,0.309016994375,-0.951056516295
163,5B/5A,4,2,-1,1/phi,-zeta10^2*1/phi,-0.190983005625,-0.587785252292,zeta5^2,-0.809016994375,0.587785252292
167,3A,2,4,1,1,+zeta10^4,-0.809016994375,0.587785252292,zeta5^4,0.309016994375,-0.951056516295
173,5A/5B,3,4,-1,phi,-zeta10^4*phi,1.309016994375,-0.951056516295,zeta5^4,0.309016994375,-0.951056516295
179,3A,2,3,-1,1,-zeta10^3,0.309016994375,-0.951056516295,zeta5^3,-0.809016994375,-0.587785252292
181,3A,2,0,-1,1,-zeta10^0,-1.000000000000,0.000000000000,zeta5^0,1.000000000000,0.000000000000
191,2A,1,4,0,0,0,0.000000000000,0.000000000000,zeta5^4,0.309016994375,-0.951056516295
193,5B/5A,4,3,-1,1/phi,-zeta10^3*1/phi,0.190983005625,-0.587785252292,zeta5^3,-0.809016994375,-0.587785252292
197,2A,1,2,0,0,0,0.000000000000,0.000000000000,zeta5^2,-0.809016994375,0.587785252292
199,5A/5B,3,4,-1,phi,-zeta10^4*phi,1.309016994375,-0.951056516295,zeta5^4,0.309016994375,-0.951056516295
211,5A/5B,3,4,-1,phi,-zeta10^4*phi,1.309016994375,-0.951056516295,zeta5^4,0.309016994375,-0.951056516295
223,3A,2,2,-1,1,-zeta10^2,-0.309016994375,-0.951056516295,zeta5^2,-0.809016994375,0.587785252292
227,3A,2,2,1,1,+zeta10^2,0.309016994375,0.951056516295,zeta5^2,-0.809016994375,0.587785252292
229,5B/5A,4,1,-1,1/phi,-zeta10^1*1/phi,-0.500000000000,-0.363271264003,zeta5^1,0.309016994375,0.951056516295
233,2A,1,3,0,0,0,0.000000000000,0.000000000000,zeta5^3,-0.809016994375,-0.587785252292
239,2A,1,2,0,0,0,0.000000000000,0.000000000000,zeta5^2,-0.809016994375,0.587785252292
241,5B/5A,4,4,-1,1/phi,-zeta10^4*1/phi,0.500000000000,-0.363271264003,zeta5^4,0.309016994375,-0.951056516295
251,2A,1,1,0,0,0,0.000000000000,0.000000000000,zeta5^1,0.309016994375,0.951056516295
257,3A,2,2,-1,1,-zeta10^2,-0.309016994375,-0.951056516295,zeta5^2,-0.809016994375,0.587785252292
263,2A,1,1,0,0,0,0.000000000000,0.000000000000,zeta5^1,0.309016994375,0.951056516295
269,2A,1,2,0,0,0,0.000000000000,0.000000000000,zeta5^2,-0.809016994375,0.587785252292
271,5A/5B,3,0,1,phi,+zeta10^0*phi,1.618033988750,0.000000000000,zeta5^0,1.000000000000,0.000000000000
277,5A/5B,3,2,-1,phi,-zeta10^2*phi,-0.500000000000,-1.538841768588,zeta5^2,-0.809016994375,0.587785252292
281,5A/5B,3,4,1,phi,+zeta10^4*phi,-1.309016994375,0.951056516295,zeta5^4,0.309016994375,-0.951056516295
283,2A,1,4,0,0,0,0.000000000000,0.000000000000,zeta5^4,0.309016994375,-0.951056516295
293,3A,2,3,-1,1,-zeta10^3,0.309016994375,-0.951056516295,zeta5^3,-0.809016994375,-0.587785252292
307,3A,2,2,-1,1,-zeta10^2,-0.309016994375,-0.951056516295,zeta5^2,-0.809016994375,0.587785252292
311,3A,2,2,-1,1,-zeta10^2,-0.309016994375,-0.951056516295,zeta5^2,-0.809016994375,0.587785252292
313,2A,1,1,0,0,0,0.000000000000,0.000000000000,zeta5^1,0.309016994375,0.951056516295
317,3A,2,4,1,1,+zeta10^4,-0.809016994375,0.587785252292,zeta5^4,0.309016994375,-0.951056516295
