p,proj_class,raw_label,j5,b_p,abs_a_p,a_p_exact,Re_a_p,Im_a_p,chi_p_exact,Re_chi,Im_chi
2,3A,2,4,1,1,+zeta10^4,-0.8090169944,0.5877852523,zeta5^4,0.3090169944,-0.9510565163
3,5B/5A,4,1,-1,1/phi,-zeta10^1*1/phi,-0.5,-0.363271264,zeta5^1,0.3090169944,0.9510565163
5,2A,1,1,0,0,0,0,0,zeta5^1,0.3090169944,0.9510565163
7,2A,1,2,0,0,0,0,0,zeta5^2,-0.8090169944,0.5877852523
11,5B/5A,4,3,-1,1/phi,-zeta10^3*1/phi,0.1909830056,-0.5877852523,zeta5^3,-0.8090169944,-0.5877852523
13,3A,2,3,1,1,+zeta10^3,-0.3090169944,0.9510565163,zeta5^3,-0.8090169944,-0.5877852523
17,5B/5A,4,1,1,1/phi,+zeta10^1*1/phi,0.5,0.363271264,zeta5^1,0.3090169944,0.9510565163
19,5A/5B,3,2,1,phi,+zeta10^2*phi,0.5,1.538841769,zeta5^2,-0.8090169944,0.5877852523
23,2A,1,1,0,0,0,0,0,zeta5^1,0.3090169944,0.9510565163
29,2A,1,4,0,0,0,0,0,zeta5^4,0.3090169944,-0.9510565163
31,5A/5B,3,0,-1,phi,-zeta10^0*phi,-1.618033989,0,zeta5^0,1,0
37,5B/5A,4,2,1,1/phi,+zeta10^2*1/phi,0.1909830056,0.5877852523,zeta5^2,-0.8090169944,0.5877852523
41,5B/5A,4,4,1,1/phi,+zeta10^4*1/phi,-0.5,0.363271264,zeta5^4,0.3090169944,-0.9510565163
43,3A,2,3,-1,1,-zeta10^3,0.3090169944,-0.9510565163,zeta5^3,-0.8090169944,-0.5877852523
47,2A,1,4,0,0,0,0,0,zeta5^4,0.3090169944,-0.9510565163
53,5A/5B,3,3,-1,phi,-zeta10^3*phi,0.5,-1.538841769,zeta5^3,-0.8090169944,-0.5877852523
59,3A,2,4,-1,1,-zeta10^4,0.8090169944,-0.5877852523,zeta5^4,0.3090169944,-0.9510565163
61,5B/5A,4,0,1,1/phi,+zeta10^0*1/phi,0.6180339888,0,zeta5^0,1,0
67,3A,2,3,1,1,+zeta10^3,-0.3090169944,0.9510565163,zeta5^3,-0.8090169944,-0.5877852523
71,2A,1,2,0,0,0,0,0,zeta5^2,-0.8090169944,0.5877852523
73,2A,1,1,0,0,0,0,0,zeta5^1,0.3090169944,0.9510565163
79,5A/5B,3,1,-1,phi,-zeta10^1*phi,-1.309016994,-0.9510565163,zeta5^1,0.3090169944,0.9510565163
83,5A/5B,3,1,-1,phi,-zeta10^1*phi,-1.309016994,-0.9510565163,zeta5^1,0.3090169944,0.9510565163
89,3A,2,0,1,1,+zeta10^0,1,0,zeta5^0,1,0
97,5A/5B,3,4,-1,phi,-zeta10^4*phi,1.309016994,-0.9510565163,zeta5^4,0.3090169944,-0.9510565163
101,2A,1,3,0,0,0,0,0,zeta5^3,-0.8090169944,-0.5877852523
103,2A,1,3,0,0,0,0,0,zeta5^3,-0.8090169944,-0.5877852523
107,3A,2,1,1,1,+zeta10^1,0.8090169944,0.5877852523,zeta5^1,0.3090169944,0.9510565163
